id,t
26,วัซกุรู อิซ อันตุม เกฺาะลีลุม มุสตัฎอฺะฟูนะ ฟิล อัรฎิ ตะคอฟูนะ อัย ยะตะค็อฏเฏาะฟะกุมุน นาสุ ฟะอาวากุม วะอัยยะดะกุม บินัศริฮี วะเราะซะเกฺาะกุม มินัฏ ฏ็อยยิบาติ ละอฺัลละกุม ตัชกุรูน
27,ยาอัยยุฮัล ละซีนะ อามะนู ลา ตะคูนุล ลอฮะ วัรเราะสูละ วะตะคูนู อะมานาติกุม วะอันตุม ตะอฺ์ละมูน
28,วะอฺ์ละมู อันนะมา อัมวาลุกุม วะเอาลาดุกุม ฟิตนะตู วะอันนัล ลอฮะ อฺินดะฮู อัจญ์รุน อฺะซฺีม
29,ยาอัยยุฮัล ละซีนะ อามะนู อิน ตัตตะกฺุล ลอฮะ ยัจญ์อฺัล ละกุม ฟุรกฺอเนา วะยุกัฟฟิร อฺันกุม สัยยิอาติกุม วะยัฆฟิร ละกุม  ^  วัลลอฮุ ซุล ฟัฎลิล อฺะซฺีม
30,วะอิซ ยัมกุรุ บิกัล ละซีนะ กะฟะรู ลิยุษบิตูกะ เอา ยักฺตุลูกะ เอา ยุคริญูก  ^  วะยัมกุรูนะ วะยัมกุรุล ลอฮ์  ^  วัลลอฮุ ค็อยรุล มากิรีน
31,วะอิซา ตุตลา อฺะลัยฮิม อายาตุนา กฺอลู กฺ็อด สะมิอฺ์นา เลา นะชาอุ ละกฺุลนา มิษละ ฮาซา อิน ฮาซา อิลลา อะสาฏีรุล เอาวะลีน
32,วะอิซ กฺอลุล ลอฮุมมะ อิน กานะ ฮาซา ฮุวัล ฮักฺเกฺาะ มิน อฺินดิกะ ฟะอัมฏิร อฺะลัยนา ฮิญาเราะตัม มินัส สะมาอิ อะวิอ์ ตินา บิอฺะซาบิน อะลีม
33,วะมา กานัล ลอฮุ ลิยุอฺัซซิบะฮุม วะอันตะ ฟีฮิม  ^  วะมา กานัล ลอฮุ มุอฺัซซิบะฮุม วะฮุม ยัสตัฆฟิรูน
34,วะมา ละฮุม อัลลา ยุอฺัซซิบะฮุมุล ลอฮุ วะฮุม ยะศุดดูนะ อฺะนิล มัสญิดิล ฮะรอมิ วะมา กานู เอาลิยาอะฮ์  ^  อิน เอาลิยาอุฮู อิลลัล มุตตะกฺูนะ วะลากินนะ อักษะเราะฮุม ลา ยะอฺ์ละมูน
35,วะมา กานะ เศาะลาตุฮุม อฺินดัล บัยติ อิลลา มุกาเอา วะตัศดิยะฮ์  ^  ฟะซูกฺุล อฺะซาบะ บิมา กุนตุม ตักฟุรูน
36,อินนัล ละซีนะ กะฟะรู ยุนฟิกฺูนะ อัมวาละฮุม ลิยะศุดดู อฺัน สะบีลิล ลาฮ์  ^  ฟะสะยุนฟิกฺูนะฮา ษุมมะ ตะกูนุ อฺะลัยฮิม ฮัสเราะตัน ษุมมะ ยุฆละบูน  ^  วัลละซีนะ กะฟะรู อิลา ญะฮันนะมะ ยุห์ชะรูน
37,ลิยะมีซัล ลอฮุล เคาะบีษะ มินัฏ ฏ็อยยิบิ วะยัจญ์อฺะลัล เคาะบีษะ บะอฺ์เฎาะฮู อฺะลา บะอฺ์ฎิน ฟะยัรกุมะฮู ญะมีอฺัน ฟะยัจญ์อฺะละฮู ฟี ญะฮันนัม  ^  อุลาอิกะ ฮุมุล คอสิรูน
