id,t
28,วะกฺอละ เราะญุลุม มุอ์มินุม มิน อาลิ ฟิรเอฺานะ ยักตุมุ อีมานะฮู อะตักฺตุลูนะ เราะญุลัน อัย ยะกฺูละ ร็อบบิยัล ลอฮุ วะกฺ็อด ญาอะกุม บิลบัยยินาติ มิร ร็อบบิกุม  ^  วะอี ยะกุ กาซิบัน ฟะอฺะลัยฮิ กะซิบุฮ์  ^  วะอี ยะกุ ศอดิกฺ็อย ยุศิบกุม บะอฺ์ฎุล ละซี ยะอฺิดุกุม  ^  อินนัล ลอฮะ ลา ยะฮ์ดี มัน ฮุวะ มุสริฟุน กัซซาบ
29,ยาเกฺอ์ามิ ละกุมุล มุลกุล เยามะ ซฺอฮิรีนะ ฟิล อัรฎิ ฟะมัย ยันศุรุนา มิม บะอ์สิล ลาฮิ อิน ญาอะนา  ^  กฺอละ ฟิรเอฺานุ มา อุรีกุม อิลลา มา อะรอ วะมา อะฮ์ดีกุม อิลลา สะบีลัร เราะชาด
30,วะกฺอลัล ละซี อามะนะ ยาเกฺอ์ามิ อินนี อะคอฟุ อฺะลัยกุม มิษละ เยามิล อะห์ซาบ
31,มิษละ ดะอ์บิ เกฺอ์ามิ นูฮิว วะอฺาดิว วะษะมูดะ วัลละซีนะ มิม บะอฺ์ดิฮิม  ^  วะมัล ลอฮุ ยุรีดุ ซฺุลมัล ลิลอฺิบาด
32,วะยาเกฺอ์ามิ อินนี อะคอฟุ อฺะลัยกุม เยามัต ตะนาด
33,เยามะ ตุวัลลูนะ มุดบิรีนะ มา ละกุม มินัล ลอฮิ มิน อฺาศิม  ^  วะมัย ยุฎลิลิล ลาฮุ ฟะมา ละฮู มิน ฮาด
34,วะละกฺ็อด ญาอะกุม ยูสุฟุ มิน กฺ็อบลุ บิลบัยยินาติ ฟะมา ซิลตุม ฟี ชักกิม มิมมา ญาอะกุม บิฮ์  ^  ฮัตตา อิซา ฮะละกะ กฺุลตุม ลัย ยับอฺะษัล ลอฮุ มิม บะอฺ์ดิฮี เราะสูลา  ^  กะซาลิกะ ยุฎิลลุล ลอฮุ มัน ฮุวะ มุสริฟุม มุรตาบ
35,อัลละซีนะ ยุญาดิลูนะ ฟี อายาติล ลาฮิ บิฆ็อยริ สุลฏอนิน อะตาฮุม  ^  กะบุเราะ มักฺตัน อฺินดัล ลอฮิ วะอฺินดัล ละซีนะ อามะนู  ^  กะซาลิกะ ยัฏบะอฺุล ลอฮุ อฺะลา กุลลิ กฺ็อลบิ มุตะกับบิริน ญับบาร
36,วะกฺอละ ฟิรเอฺานุ ยาฮามานุบ นิ ลี ศ็อรฮัล ละอฺัลลี อับลุฆุล อัสบาบ
37,อัสบาบัส สะมาวาติ ฟะอัฏเฏาะลิอฺะ อิลา อิลาฮิ มูสา วะอินนี ละอะซฺุนนุฮู กาซิบา  ^  วะกะซาลิกะ ซุยยินะ ลิฟิรเอฺานะ สูอุ อฺะมะลิฮี วะศุดดะ อฺะนิส สะบีล  ^  วะมา กัยดุ ฟิรเอฺานะ อิลลา ฟี ตะบาบ
